,Player,Team,Years Remaining,Price,Position,,,,
,Green Bay Packers,Sileby Sabres,1,4,DST,,,,
,Trevor Lawrence,Sileby Sabres,2,10,QB,,,,
,Kirk Cousins,Sileby Sabres,1,4,QB,,,,
,Graham Gano,Sileby Sabres,1,2,K,,,,
,New Orleans Saints,Sileby Sabres,1,3,DST,,,,
,Chris Olave,Sileby Sabres,3,14,WR,,,,
,Dameon Pierce,Sileby Sabres,3,7,RB,,,,
,Greg Dulcich,Sileby Sabres,3,4,TE,,,,
,Lamar Jackson,Polgooth Pirates,3,64,QB,,,,
,Derrick Henry,Polgooth Pirates,3,58,RB,,,,
,Mike Davis,Polgooth Pirates,1,24,RB,,,,
,Justin Jefferson,Polgooth Pirates,3,20,WR,,,,
,Drake London,Polgooth Pirates,3,21,WR,,,,
,Jarvis Landry,Polgooth Pirates,2,32,WR,,,,
,T.J. Hockenson,Maidwell 69ers,2,18,TE,,,,
,Carolina Panthers,Polgooth Pirates,1,1,DST,,,,
,Marvin Jones Jr.,Polgooth Pirates,4,9,WR,,,,
,Matt Ryan,Polgooth Pirates,1,7,QB,,,,
,Matt Gay,Polgooth Pirates,1,5,K,,,,
,Trey Sermon,Polgooth Pirates,2,15,RB,,,,
,Nyheim Hines,Polgooth Pirates,1,7,RB,,,,
,Nick Folk,Polgooth Pirates,1,7,K,,,,
,Rex Burkhead,Polgooth Pirates,1,1,RB,,,,
,Tennessee Titans,Polgooth Pirates,1,1,K,,,,
,Matt Ryan,Polgooth Pirates,1,7,QB,,,,
,Kenyan Drake,Polgooth Pirates,1,2,RB,,,,
,William Fuller,Polgooth Pirates,1,16,WR,,,,
,D.J. Chark Jr.,Polgooth Pirates,2,30,WR,,,,
,Kylin Hill,Polgooth Pirates,4,4,RB,,,,
,Amari Rodgers,Polgooth Pirates,4,13,WR,,,,
,Brevin Jordan,Polgooth Pirates,4,4,TE,,,,
,Trey McBride,Polgooth Pirates,3,4,TE,,,,
,Hasaan Haskins,Polgooth Pirates,3,2,RB,,,,
